source,destination,rssi,timestamp
WB5,WB2,-32,424621
WB5,WB1,-18,424621
WB3,WB2,-79,497187
WB3,WB1,-52,497187
WB5,WB1,-18,432633
WB5,WB2,-32,432633
WB2,WB1,-21,432549
WB3,WB1,-53,505198
WB5,WB2,-50,440644
WB4,WB2,-56,8011
WB4,WB1,-53,16023
WB4,WB2,-54,16023
WB3,WB2,-79,8926
WB4,WB2,-50,24034
WB4,WB1,-54,24034
WB3,WB2,-64,16938
WB4,WB2,-57,32045
WB3,WB1,-57,24950
WB4,WB1,-53,40056
WB4,WB2,-52,40056
WB3,WB1,-53,32962
WB3,WB2,-59,32962
WB4,WB1,-64,48069
WB3,WB1,-53,40973
WB4,WB2,-44,56080
WB4,WB1,-47,56080
WB3,WB1,-46,48985
WB4,WB2,-44,64093
WB3,WB1,-47,56997
WB3,WB2,-52,56997
WB4,WB1,-58,72105
WB4,WB2,-43,80116
WB4,WB1,-49,80116
WB3,WB1,-55,73017
WB3,WB2,-61,73017
WB4,WB2,-45,88127
WB3,WB2,-59,81030
WB4,WB2,-61,96138
WB3,WB2,-60,105062
WB4,WB2,-63,120171
WB3,WB2,-56,113074
WB4,WB2,-54,128182
WB5,WB2,-21,24030
WB3,WB2,-52,121086
WB4,WB2,-55,136195
WB5,WB2,-18,32042
WB3,WB2,-54,129097
WB4,WB2,-60,144207
WB5,WB2,-27,40053
WB4,WB2,-46,152219
WB5,WB2,-24,48065
WB3,WB2,-64,145117
WB3,WB1,-52,145117
WB4,WB2,-55,160230
WB4,WB1,-46,160230
WB2,WB1,-25,48455
WB5,WB1,-30,56077
WB3,WB2,-64,153129
WB3,WB1,-58,153129
WB4,WB1,-55,168241
WB4,WB2,-60,168241
WB1,WB2,-33,16020
WB5,WB1,-32,64089
WB3,WB1,-52,161140
WB3,WB2,-62,161140
WB4,WB2,-60,176253
WB1,WB2,-19,24031
WB5,WB2,-24,72100
WB3,WB1,-54,169153
WB4,WB1,-42,184266
WB2,WB1,-17,72486
WB1,WB2,-20,32043
WB5,WB2,-26,80111
WB5,WB1,-30,80111
WB4,WB1,-44,192278
WB2,WB1,-17,80498
WB1,WB2,-19,40055
WB5,WB2,-26,88124
WB5,WB1,-31,88124
WB3,WB1,-53,185177
WB4,WB1,-45,200289
WB4,WB2,-58,200289
WB2,WB1,-17,88508
WB1,WB2,-19,48067
WB5,WB1,-30,96135
WB5,WB2,-26,96135
WB3,WB1,-52,193189
WB2,WB1,-17,96520
WB1,WB2,-20,56078
WB5,WB1,-30,104147
WB5,WB2,-25,104147
WB3,WB1,-52,201200
WB4,WB1,-35,216313
WB2,WB1,-27,104532
WB5,WB2,-24,112158
WB3,WB1,-42,209212
WB4,WB2,-49,224324
WB2,WB1,-16,112542
WB1,WB2,-20,72100
WB5,WB1,-30,120169
WB5,WB2,-25,120169
WB3,WB1,-48,217224
WB3,WB2,-51,217224
WB4,WB2,-55,232336
WB2,WB1,-15,120552
WB1,WB2,-19,80110
WB5,WB2,-23,128181
WB5,WB1,-30,128181
WB3,WB2,-48,225235
WB3,WB1,-48,225235
WB4,WB1,-34,240347
WB2,WB1,-16,128560
WB1,WB2,-19,88121
WB5,WB1,-31,136193
WB5,WB2,-23,136193
WB3,WB2,-49,233247
WB3,WB1,-47,233247
WB4,WB2,-64,248359
WB2,WB1,-27,136571
WB1,WB2,-19,96132
WB5,WB2,-23,144205
WB5,WB1,-31,144205
WB3,WB1,-47,241260
WB4,WB2,-46,256370
WB4,WB1,-44,256370
WB2,WB1,-17,144582
WB1,WB2,-18,104143
WB5,WB2,-24,152217
WB5,WB1,-30,152217
WB3,WB1,-47,249272
WB3,WB2,-52,249272
WB4,WB1,-34,264382
WB1,WB2,-18,112155
WB5,WB2,-23,160230
WB5,WB1,-30,160230
WB3,WB2,-52,257284
WB4,WB2,-49,272394
WB4,WB1,-34,272394
WB2,WB1,-18,160601
WB1,WB2,-18,120167
WB5,WB2,-23,168241
WB5,WB1,-30,168241
WB3,WB1,-48,265295
WB3,WB2,-49,265295
WB4,WB1,-35,280406
WB1,WB2,-20,128178
WB5,WB2,-23,176252
WB3,WB2,-48,273306
WB4,WB1,-35,288418
