~from,~to,rssi,timestamp
WB5,WB2,-32,1596794
WB5,WB1,-18,1547209
WB3,WB2,-79,1738023
WB3,WB1,-52,1677900
WB5,WB1,-18,1530754
WB5,WB2,-32,1648781
WB2,WB1,-21,1588765
WB3,WB1,-53,1661686
WB5,WB2,-50,1765183
WB4,WB2,-56,1624856
WB4,WB1,-53,1583990
WB4,WB2,-54,1579637
WB3,WB2,-79,1660653
WB4,WB2,-50,1590115
WB4,WB1,-54,1720532
WB3,WB2,-64,1700422
WB4,WB2,-57,1740908
WB3,WB1,-57,1520076
WB4,WB1,-53,1679063
WB4,WB2,-52,1633879
WB3,WB1,-53,1605864
WB3,WB2,-59,1712399
WB4,WB1,-64,1704159
WB3,WB1,-53,1603663
WB4,WB2,-44,1502554
WB4,WB1,-47,1662189
WB3,WB1,-46,1534559
WB4,WB2,-44,1735741
WB3,WB1,-47,1650595
WB3,WB2,-52,1698652
WB4,WB1,-58,1624418
WB4,WB2,-43,1562714
WB4,WB1,-49,1528032
WB3,WB1,-55,1542782
WB3,WB2,-61,1713624
WB4,WB2,-45,1739566
WB3,WB2,-59,1617841
WB4,WB2,-61,1789643
WB3,WB2,-60,1675354
WB4,WB2,-63,1671314
WB3,WB2,-56,1639586
WB4,WB2,-54,1719671
WB5,WB2,-21,1707440
WB3,WB2,-52,1520238
WB4,WB2,-55,1606841
WB5,WB2,-18,1636857
WB3,WB2,-54,1752822
WB4,WB2,-60,1620704
WB5,WB2,-27,1500171
WB4,WB2,-46,1776899
WB5,WB2,-24,1560180
WB3,WB2,-64,1738291
WB3,WB1,-52,1609683
WB4,WB2,-55,1628899
WB4,WB1,-46,1744215
WB2,WB1,-25,1763407
WB5,WB1,-30,1595319
WB3,WB2,-64,1519648
WB3,WB1,-58,1743229
WB4,WB1,-55,1692958
WB4,WB2,-60,1752470
WB1,WB2,-33,1513398
WB5,WB1,-32,1755205
WB3,WB1,-52,1750504
WB3,WB2,-62,1714408
WB4,WB2,-60,1625235
WB1,WB2,-19,1708072
WB5,WB2,-24,1792187
WB3,WB1,-54,1763998
WB4,WB1,-42,1678249
WB2,WB1,-17,1643268
WB1,WB2,-20,1559884
WB5,WB2,-26,1714649
WB5,WB1,-30,1633083
WB4,WB1,-44,1648546
WB2,WB1,-17,1720149
WB1,WB2,-19,1754710
WB5,WB2,-26,1569113
WB5,WB1,-31,1594652
WB3,WB1,-53,1612590
WB4,WB1,-45,1595317
WB4,WB2,-58,1608146
WB2,WB1,-17,1513849
WB1,WB2,-19,1598715
WB5,WB1,-30,1737251
WB5,WB2,-26,1598423
WB3,WB1,-52,1572121
WB2,WB1,-17,1520113
WB1,WB2,-20,1763532
WB5,WB1,-30,1662270
WB5,WB2,-25,1514927
WB3,WB1,-52,1671774
WB4,WB1,-35,1543115
WB2,WB1,-27,1650197
WB5,WB2,-24,1650691
WB3,WB1,-42,1509746
WB4,WB2,-49,1728448
WB2,WB1,-16,1539909
WB1,WB2,-20,1583698
WB5,WB1,-30,1644504
WB5,WB2,-25,1587450
WB3,WB1,-48,1787169
WB3,WB2,-51,1741999
WB4,WB2,-55,1610791
WB2,WB1,-15,1575004
WB1,WB2,-19,1662504
WB5,WB2,-23,1620142
WB5,WB1,-30,1628447
WB3,WB2,-48,1578623
WB3,WB1,-48,1731959
WB4,WB1,-34,1573712
WB2,WB1,-16,1784200
WB1,WB2,-19,1791297
WB5,WB1,-31,1623868
WB5,WB2,-23,1595548
WB3,WB2,-49,1694027
WB3,WB1,-47,1501591
WB4,WB2,-64,1524952
WB2,WB1,-27,1625291
WB1,WB2,-19,1735781
WB5,WB2,-23,1541812
WB5,WB1,-31,1646935
WB3,WB1,-47,1631953
WB4,WB2,-46,1560910
WB4,WB1,-44,1528241
WB2,WB1,-17,1551324
WB1,WB2,-18,1776687
WB5,WB2,-24,1701047
WB5,WB1,-30,1527264
WB3,WB1,-47,1705795
WB3,WB2,-52,1586344
WB4,WB1,-34,1676321
WB1,WB2,-18,1729841
WB5,WB2,-23,1642817
WB5,WB1,-30,1534406
WB3,WB2,-52,1740031
WB4,WB2,-49,1747916
WB4,WB1,-34,1625281
WB2,WB1,-18,1569568
WB1,WB2,-18,1754024
WB5,WB2,-23,1767571
WB5,WB1,-30,1638661
WB3,WB1,-48,1704577
WB3,WB2,-49,1745678
WB4,WB1,-35,1536305
WB1,WB2,-20,1787149
WB5,WB2,-23,1775826
WB3,WB2,-48,1776781
WB4,WB1,-35,1794229
WB4,WB2,-63,1625618
WB2,WB1,-18,1678219
WB1,WB2,-18,1675509
WB5,WB2,-23,1607515
WB5,WB1,-30,1560433
